,Binaria,Ordinal,rpb
259,D2,BPI_9b_v1,0.400260973
260,D2,BPI_9c_v1,0.473618068
261,D2,BPI_9d_v1,0.479890499
262,D2,BPI_9e_v1,0.290490531
263,D2,BPI_9f_v1,0.474933811
264,D2,BPI_9g_v1,0.305643229
265,D20,Se_SP_haquantosanos,-0.357318103
266,D20,QtCirColuna,0.178683713
267,D20,Trabalho_Cansativo,0.007448011
268,D20,Licenca_Tempo,0.413049553
269,D20,Tempo_dor_costas,0.036074197
270,D20,Tempo_dor_pernas,-0.303545736
271,D20,Andar_velocidade,-0.061057176
272,D20,Dor_costas_VAS,0.32389909
273,D20,Dor_pernas_VAS,-0.183546963
274,D20,IDADE,-0.098388799
275,D20,BPI_3_v1,0.173627432
276,D20,BPI_4_v1,0.120561543
277,D20,BPI_5_v1,0.106454084
278,D20,BPI_6_v1,0.34542926
279,D20,BPI_8_v1,-0.151645682
280,D20,BPI_9a_v1,0.275685328
281,D20,BPI_9b_v1,0.333896459
282,D20,BPI_9c_v1,0.086303737
283,D20,BPI_9d_v1,0.316870372
284,D20,BPI_9e_v1,0.150178124
285,D20,BPI_9f_v1,0.207718304
286,D20,BPI_9g_v1,0.252870297
287,D21,Se_SP_haquantosanos,-0.357318103
288,D21,QtCirColuna,-0.226549396
289,D21,Trabalho_Cansativo,0.382678132
290,D21,Licenca_Tempo,-0.332185347
291,D21,Tempo_dor_costas,0.253790318
292,D21,Tempo_dor_pernas,0.022520805
293,D21,Andar_velocidade,0.140878209
294,D21,Dor_costas_VAS,0.324909959
295,D21,Dor_pernas_VAS,-0.166420178
296,D21,IDADE,-0.061299495
297,D21,BPI_3_v1,0.180510257
298,D21,BPI_4_v1,0.075548123
299,D21,BPI_5_v1,0.119922629
300,D21,BPI_6_v1,0.34573714
301,D21,BPI_8_v1,0.020920489
302,D21,BPI_9a_v1,0.263304309
303,D21,BPI_9b_v1,0.308334292
304,D21,BPI_9c_v1,0.046461079
305,D21,BPI_9d_v1,0.251336227
306,D21,BPI_9e_v1,0.133758503
307,D21,BPI_9f_v1,0.088244044
308,D21,BPI_9g_v1,0.262814637
309,D22,Se_SP_haquantosanos,NA
310,D22,QtCirColuna,0.245223357
311,D22,Trabalho_Cansativo,-0.316034606
312,D22,Licenca_Tempo,-0.332185347
313,D22,Tempo_dor_costas,-0.138841259
314,D22,Tempo_dor_pernas,-0.412189792
315,D22,Andar_velocidade,-0.308937698
316,D22,Dor_costas_VAS,-0.033196148
317,D22,Dor_pernas_VAS,-0.318742581
318,D22,IDADE,-0.218456723
319,D22,BPI_3_v1,-0.036221108
320,D22,BPI_4_v1,0.079024979
321,D22,BPI_5_v1,-0.195495263
322,D22,BPI_6_v1,-0.011213154
323,D22,BPI_8_v1,-0.234443577
324,D22,BPI_9a_v1,0.086606173
325,D22,BPI_9b_v1,0.092666652
326,D22,BPI_9c_v1,0.067653813
327,D22,BPI_9d_v1,0.210058215
328,D22,BPI_9e_v1,0.131474102
329,D22,BPI_9f_v1,0.175923084
330,D22,BPI_9g_v1,-0.008618519
331,D23,Se_SP_haquantosanos,NA
332,D23,QtCirColuna,NA
333,D23,Trabalho_Cansativo,-0.316034606
334,D23,Licenca_Tempo,NA
335,D23,Tempo_dor_costas,-0.005104458
336,D23,Tempo_dor_pernas,-0.064570504
337,D23,Andar_velocidade,0.039123115
338,D23,Dor_costas_VAS,0.139064944
339,D23,Dor_pernas_VAS,0.219559384
340,D23,IDADE,-0.218456723
341,D23,BPI_3_v1,0.176276061
342,D23,BPI_4_v1,0.33038154
343,D23,BPI_5_v1,0.424826244
344,D23,BPI_6_v1,0.158277976
345,D23,BPI_8_v1,-0.09929375
346,D23,BPI_9a_v1,0.138407995
347,D23,BPI_9b_v1,0.144690035
348,D23,BPI_9c_v1,0.173259764
349,D23,BPI_9d_v1,0.158941387
350,D23,BPI_9e_v1,0.186469805
351,D23,BPI_9f_v1,0.175923084
352,D23,BPI_9g_v1,0.598125241
353,D24,Se_SP_haquantosanos,-0.6010945
354,D24,QtCirColuna,-0.023285583
355,D24,Trabalho_Cansativo,-0.087039633
356,D24,Licenca_Tempo,0.762821323
357,D24,Tempo_dor_costas,0.046200551
358,D24,Tempo_dor_pernas,0.02806938
359,D24,Andar_velocidade,0.118664995
360,D24,Dor_costas_VAS,0.03574049
361,D24,Dor_pernas_VAS,-0.29181828
362,D24,IDADE,-0.189019843
363,D24,BPI_3_v1,0.015628624
364,D24,BPI_4_v1,-0.100824261
365,D24,BPI_5_v1,-0.016825527
366,D24,BPI_6_v1,0.073428264
367,D24,BPI_8_v1,0.317448455
368,D24,BPI_9a_v1,-0.045050755
369,D24,BPI_9b_v1,-0.172173293
370,D24,BPI_9c_v1,0.034126152
371,D24,BPI_9d_v1,-0.082147578
372,D24,BPI_9e_v1,-0.15970628
373,D24,BPI_9f_v1,-0.05326597
374,D24,BPI_9g_v1,-0.115080136
375,D25,Se_SP_haquantosanos,-0.511371417
376,D25,QtCirColuna,NA
377,D25,Trabalho_Cansativo,-0.136850459
378,D25,Licenca_Tempo,NA
379,D25,Tempo_dor_costas,-0.005685079
380,D25,Tempo_dor_pernas,-0.200968682
381,D25,Andar_velocidade,0.431429154
382,D25,Dor_costas_VAS,0.282988686
383,D25,Dor_pernas_VAS,-0.205312064
384,D25,IDADE,-0.183309092
385,D25,BPI_3_v1,-0.04033182
386,D25,BPI_4_v1,-0.016962598
387,D25,BPI_5_v1,0.231287019
388,D25,BPI_6_v1,0.302128692
389,D25,BPI_8_v1,-0.073664996
390,D25,BPI_9a_v1,-0.105547414
391,D25,BPI_9b_v1,-0.041674761
392,D25,BPI_9c_v1,-0.071724858
393,D25,BPI_9d_v1,-0.107712464
394,D25,BPI_9e_v1,-0.0679992
395,D25,BPI_9f_v1,-0.095756957
396,D25,BPI_9g_v1,0.174823865
397,D26,Se_SP_haquantosanos,NA
398,D26,QtCirColuna,0.245223357
399,D26,Trabalho_Cansativo,-0.316034606
400,D26,Licenca_Tempo,-0.332185347
401,D26,Tempo_dor_costas,0.396105945
402,D26,Tempo_dor_pernas,-0.412189792
403,D26,Andar_velocidade,-0.308937698
404,D26,Dor_costas_VAS,0.139064944
405,D26,Dor_pernas_VAS,-0.318742581
406,D26,IDADE,0.144145625
407,D26,BPI_3_v1,0.335648937
408,D26,BPI_4_v1,-0.109492441
409,D26,BPI_5_v1,0.05263334
410,D26,BPI_6_v1,0.158277976
411,D26,BPI_8_v1,0.238580817
412,D26,BPI_9a_v1,0.552822578
413,D26,BPI_9b_v1,0.456830335
414,D26,BPI_9c_v1,0.490077619
415,D26,BPI_9d_v1,0.618992838
416,D26,BPI_9e_v1,0.406452617
417,D26,BPI_9f_v1,0.333026488
418,D26,BPI_9g_v1,0.267174099
419,D27,Se_SP_haquantosanos,0.361597362
420,D27,QtCirColuna,-0.051488499
421,D27,Trabalho_Cansativo,-0.306454289
422,D27,Licenca_Tempo,NA
423,D27,Tempo_dor_costas,0.211058938
424,D27,Tempo_dor_pernas,0.059452288
425,D27,Andar_velocidade,0.00500617
426,D27,Dor_costas_VAS,-0.278301636
427,D27,Dor_pernas_VAS,-0.120013598
428,D27,IDADE,0.039375579
429,D27,BPI_3_v1,-0.017343972
430,D27,BPI_4_v1,-0.024927638
431,D27,BPI_5_v1,0.04660184
432,D27,BPI_6_v1,-0.248693286
433,D27,BPI_8_v1,0.306291298
434,D27,BPI_9a_v1,0.232666983
435,D27,BPI_9b_v1,0.143705032
436,D27,BPI_9c_v1,0.200986139
437,D27,BPI_9d_v1,0.065782543
438,D27,BPI_9e_v1,0.165272919
439,D27,BPI_9f_v1,0.179776422
