"","demonimador","numerador","Frequência","Qtd_0_Denom","Qtd_1_Denom","D0N0","D0N1","D1N0","D1N1"
"326","D41","Desempregado","0.142857142857143","123","7","99","24","6","1"
"327","D42","Desempregado","0.333333333333333","127","3","103","24","2","1"
"328","D43","Desempregado","0.333333333333333","127","3","103","24","2","1"
"329","D44","Desempregado","0.0789473684210526","92","38","70","22","35","3"
"330","D45","Desempregado","0.0909090909090909","119","11","95","24","10","1"
"331","D46","Desempregado","0.105263157894737","92","38","71","21","34","4"
"332","D47","Desempregado","0.181818181818182","119","11","96","23","9","2"
"333","D48","Desempregado","0.115384615384615","104","26","82","22","23","3"
"334","D49","Desempregado","0.0833333333333333","118","12","94","24","11","1"
"335","D5","Desempregado","0.666666666666667","127","3","104","23","1","2"
"336","D50","Desempregado","0.5","128","2","104","24","1","1"
"337","D51","Desempregado","1","129","1","105","24","0","1"
"338","D52","Desempregado","0","128","2","103","25","2","0"
"339","D53","Desempregado","0","128","2","103","25","2","0"
"340","D9","Desempregado","1","129","1","105","24","0","1"
"341","RMDQ1_v1","Desempregado","0.194029850746269","111","67","98","13","54","13"
"342","RMDQ2_v1","Desempregado","0.208333333333333","106","72","95","11","57","15"
"343","RMDQ3_v1","Desempregado","0.115942028985507","111","69","93","18","61","8"
"344","RMDQ4_v1","Desempregado","0.12","130","50","110","20","44","6"
"345","RMDQ5_v1","Desempregado","0.112903225806452","118","62","99","19","55","7"
"346","RMDQ6_v1","Desempregado","0.122448979591837","131","49","111","20","43","6"
"347","RMDQ7_v1","Desempregado","0.151515151515152","146","33","125","21","28","5"
"348","RMDQ8_v1","Desempregado","0","171","8","145","26","8","0"
"349","RMDQ9_v1","Desempregado","0.142857142857143","151","28","129","22","24","4"
"350","RMDQ10_v1","Desempregado","0.205882352941176","145","34","126","19","27","7"
"351","RMDQ11_v1","Desempregado","0.171428571428571","144","35","124","20","29","6"
"352","RMDQ12_v1","Desempregado","0.184210526315789","141","38","122","19","31","7"
"353","RMDQ13_v1","Desempregado","0.179487179487179","140","39","121","19","32","7"
"354","RMDQ14_v1","Desempregado","0.219512195121951","138","41","121","17","32","9"
"355","RMDQ15_v1","Desempregado","0.166666666666667","155","24","133","22","20","4"
"356","RMDQ16_v1","Desempregado","0.166666666666667","149","30","128","21","25","5"
"357","RMDQ17_v1","Desempregado","0.179487179487179","140","39","121","19","32","7"
"358","RMDQ18_v1","Desempregado","0.233333333333333","149","30","130","19","23","7"
"359","RMDQ19_v1","Desempregado","0.115384615384615","153","26","130","23","23","3"
"360","RMDQ20_v1","Desempregado","0.161290322580645","148","31","127","21","26","5"
"361","RMDQ21_v1","Desempregado","0.179487179487179","140","39","121","19","32","7"
"362","RMDQ22_v1","Desempregado","0.15625","147","32","126","21","27","5"
"363","RMDQ23_v1","Desempregado","0.193548387096774","148","31","128","20","25","6"
"364","RMDQ24_v1","Desempregado","0.172413793103448","150","29","129","21","24","5"
"365","Fuma","Licenca_Medica","0.2","142","45","133","9","36","9"
"366","Cirurgia_coluna","Licenca_Medica","0.138888888888889","110","72","107","3","62","10"
"367","Aposentado","Licenca_Medica","0.138888888888889","163","36","149","14","31","5"
"368","Desempregado","Licenca_Medica","0.266666666666667","166","30","155","11","22","8"
