"","demonimador","numerador","Frequência","Qtd_1_Denom","Qtd_0_Demon","D0N0","D0N1","D1N0","D1N1"
"207","Livrar_perna","RMDQ3_v1","0.214285714285714","14","110","66","44","11","3"
"208","D30","RMDQ3_v1","0.387096774193548","62","56","44","12","38","24"
"209","RMDQ1_v1","RMDQ3_v1","0.564705882352941","85","134","104","30","37","48"
"210","RMDQ2_v1","RMDQ3_v1","0.588888888888889","90","129","104","25","37","53"
"211","RMDQ3_v1","RMDQ3_v1","1","80","141","141","0","0","80"
"212","RMDQ4_v1","RMDQ3_v1","0.945454545454545","55","166","138","28","3","52"
"213","RMDQ5_v1","RMDQ3_v1","0.986301369863014","73","148","140","8","1","72"
"214","RMDQ6_v1","RMDQ3_v1","0.929824561403509","57","164","137","27","4","53"
"215","RMDQ7_v1","RMDQ3_v1","0.871794871794872","39","181","136","45","5","34"
"216","RMDQ8_v1","RMDQ3_v1","1","8","212","141","71","0","8"
"217","RMDQ9_v1","RMDQ3_v1","0.941176470588235","34","186","139","47","2","32"
"218","RMDQ10_v1","RMDQ3_v1","0.825","40","180","134","46","7","33"
"219","RMDQ11_v1","RMDQ3_v1","0.880952380952381","42","178","136","42","5","37"
"220","RMDQ12_v1","RMDQ3_v1","0.840909090909091","44","176","134","42","7","37"
"221","RMDQ13_v1","RMDQ3_v1","0.826086956521739","46","174","133","41","8","38"
"222","RMDQ14_v1","RMDQ3_v1","0.755102040816326","49","171","129","42","12","37"
"223","RMDQ15_v1","RMDQ3_v1","0.870967741935484","31","189","137","52","4","27"
"224","RMDQ16_v1","RMDQ3_v1","0.864864864864865","37","183","136","47","5","32"
"225","RMDQ17_v1","RMDQ3_v1","0.836734693877551","49","171","133","38","8","41"
"226","RMDQ18_v1","RMDQ3_v1","0.916666666666667","36","184","138","46","3","33"
"227","RMDQ19_v1","RMDQ3_v1","0.9375","32","188","139","49","2","30"
"228","RMDQ20_v1","RMDQ3_v1","0.868421052631579","38","182","136","46","5","33"
"229","RMDQ21_v1","RMDQ3_v1","0.854166666666667","48","172","134","38","7","41"
"230","RMDQ22_v1","RMDQ3_v1","0.973684210526316","38","182","140","42","1","37"
"231","RMDQ23_v1","RMDQ3_v1","0.891891891891892","37","183","137","46","4","33"
"232","RMDQ24_v1","RMDQ3_v1","0.942857142857143","35","185","139","46","2","33"
"233","Dor_costas","RMDQ4_v1","0.266129032258065","124","67","49","18","91","33"
"234","Dor_pernas","RMDQ4_v1","0.184615384615385","65","124","85","39","53","12"
"235","Livrar_costas","RMDQ4_v1","0.296296296296296","108","16","15","1","76","32"
"236","Livrar_perna","RMDQ4_v1","0.0714285714285714","14","110","78","32","13","1"
"237","D30","RMDQ4_v1","0.241935483870968","62","56","45","11","47","15"
"238","RMDQ1_v1","RMDQ4_v1","0.317647058823529","85","134","108","26","58","27"
"239","RMDQ2_v1","RMDQ4_v1","0.344444444444444","90","129","107","22","59","31"
"240","RMDQ3_v1","RMDQ4_v1","0.65","80","141","138","3","28","52"
"241","RMDQ4_v1","RMDQ4_v1","1","55","166","166","0","0","55"
"242","RMDQ5_v1","RMDQ4_v1","0.643835616438356","73","148","140","8","26","47"
"243","RMDQ6_v1","RMDQ4_v1","0.56140350877193","57","164","141","23","25","32"
"244","RMDQ7_v1","RMDQ4_v1","0.256410256410256","39","181","137","44","29","10"
"245","RMDQ8_v1","RMDQ4_v1","0.875","8","212","165","47","1","7"
"246","RMDQ9_v1","RMDQ4_v1","0.323529411764706","34","186","143","43","23","11"
"247","RMDQ10_v1","RMDQ4_v1","0.35","40","180","140","40","26","14"
"248","RMDQ11_v1","RMDQ4_v1","0.428571428571429","42","178","142","36","24","18"
"249","RMDQ12_v1","RMDQ4_v1","0.363636363636364","44","176","138","38","28","16"
"250","RMDQ13_v1","RMDQ4_v1","0.369565217391304","46","174","137","37","29","17"
"251","RMDQ14_v1","RMDQ4_v1","0.36734693877551","49","171","135","36","31","18"
"252","RMDQ15_v1","RMDQ4_v1","0.161290322580645","31","189","140","49","26","5"
"253","RMDQ16_v1","RMDQ4_v1","0.297297297297297","37","183","140","43","26","11"
"254","RMDQ17_v1","RMDQ4_v1","0.387755102040816","49","171","136","35","30","19"
"255","RMDQ18_v1","RMDQ4_v1","0.361111111111111","36","184","143","41","23","13"
"256","RMDQ19_v1","RMDQ4_v1","0.25","32","188","142","46","24","8"
"257","RMDQ20_v1","RMDQ4_v1","0.315789473684211","38","182","140","42","26","12"
"258","RMDQ21_v1","RMDQ4_v1","0.458333333333333","48","172","140","32","26","22"
"259","RMDQ22_v1","RMDQ4_v1","0.394736842105263","38","182","143","39","23","15"
