"Binaria","Ordinal","rpb","pvalue","Bin_0","Bin_1","Missing"
"RMDQ8_v1","SF12_M1_1_v1",0.367048129755268,0.0203486880136178,212,8,12
"RMDQ8_v1","SF12_M1_2_v1",-0.747908836275878,1.40586835758396e-06,212,8,12
"RMDQ8_v1","SF12_M1_3_v1",-0.789416355519988,3.25363883595589e-07,212,8,12
"RMDQ8_v1","SF12_M1_4_v1",-0.642942291041587,3.82912177755884e-05,212,8,12
"RMDQ8_v1","SF12_M1_5_v1",-0.739701999446514,1.85740781076997e-06,212,8,12
"RMDQ8_v1","SF12_M1_6_v1",-0.715219204607113,4.17590567088091e-06,212,8,12
"RMDQ8_v1","SF12_M1_7_v1",-0.836957867653069,5.42060089250541e-08,212,8,12
"RMDQ8_v1","SF12_M1_8_v1",0.577147651471942,0.000231458800982503,212,8,12
"RMDQ8_v1","SF12_M1_9_v1",-0.467038707324558,0.00304335213704504,212,8,12
"RMDQ8_v1","SF12_M1_11_v1",-0.506632994197967,0.0012801844115081,212,8,12
"RMDQ8_v1","SF12_M1_12_v1",-0.442713169774152,0.00501496387032523,212,8,12
"RMDQ9_v1","Oswestry1_v1",0.9999,4.92797551568049e-49,186,34,12
"RMDQ9_v1","Oswestry2_v1",0.9999,1.04892221549556e-58,186,34,12
"RMDQ9_v1","Oswestry3_v1",0.9999,4.44835693260889e-45,186,34,12
"RMDQ9_v1","Oswestry4_v1",0.9999,8.51667626228677e-64,186,34,12
"RMDQ9_v1","Oswestry5_v1",0.9999,7.09630397254544e-47,186,34,12
"RMDQ9_v1","Oswestry6_v1",0.9999,5.07968353322867e-49,186,34,12
"RMDQ9_v1","Oswestry7_v1",0.9999,1.23455519573962e-44,186,34,12
"RMDQ9_v1","Oswestry8_v1",0.9999,3.472314208554e-49,186,34,12
"RMDQ9_v1","Oswestry9_v1",0.9999,1.6843053752601e-51,186,34,12
"RMDQ9_v1","Oswestry10_v1",0.9999,1.05859822533679e-40,186,34,12
"RMDQ9_v1","Somatoria_Owestry",0.9999,3.91830232625757e-63,186,34,12
"RMDQ9_v1","Ord_RMDQ",0.9999,1.29261783834161e-63,101,34,0
"RMDQ9_v1","SF12_M1_1_v1",0.769439451941743,1.01325297688822e-15,186,34,12
"RMDQ9_v1","SF12_M1_2_v1",-0.956155472910961,1.20950340118048e-25,186,34,12
"RMDQ9_v1","SF12_M1_3_v1",-0.9999,1.21832764282317e-29,186,34,12
"RMDQ9_v1","SF12_M1_4_v1",-0.853271473832367,1.14082493402988e-19,186,34,12
"RMDQ9_v1","SF12_M1_5_v1",-0.915533036425332,4.0904137801142e-23,186,34,12
"RMDQ9_v1","SF12_M1_6_v1",-0.9999,8.13663775860743e-30,186,34,12
"RMDQ9_v1","SF12_M1_7_v1",-0.9999,2.81776909393545e-35,186,34,12
"RMDQ9_v1","SF12_M1_8_v1",0.950737892097662,2.71693872032216e-25,186,34,12
"RMDQ9_v1","SF12_M1_9_v1",-0.95063037497337,2.76063707483574e-25,186,34,12
"RMDQ9_v1","SF12_M1_10_v1",-0.831253369268647,1.46310286020875e-18,186,34,12
"RMDQ9_v1","SF12_M1_11_v1",-0.995266885825961,2.53367142300592e-28,186,34,12
"RMDQ9_v1","SF12_M1_12_v1",-0.998001694019161,1.60922334785934e-28,186,34,12
"RMDQ10_v1","Oswestry1_v1",0.9999,8.26059389679671e-39,180,40,12
"RMDQ10_v1","Oswestry2_v1",0.9999,2.36213318273415e-39,180,40,12
"RMDQ10_v1","Oswestry3_v1",0.9999,1.03415024747508e-40,180,40,12
"RMDQ10_v1","Oswestry4_v1",0.9999,5.50929886916532e-43,180,40,12
"RMDQ10_v1","Oswestry5_v1",0.9999,4.74808854790025e-40,180,40,12
"RMDQ10_v1","Oswestry6_v1",0.9999,3.22272646861591e-42,180,40,12
"RMDQ10_v1","Oswestry7_v1",0.9999,6.72990037049625e-34,180,40,12
"RMDQ10_v1","Oswestry8_v1",0.9999,6.18475783676863e-32,180,40,12
"RMDQ10_v1","Oswestry9_v1",0.9999,6.05856088315676e-36,180,40,12
"RMDQ10_v1","Oswestry10_v1",0.9999,8.48108313115273e-32,180,40,12
"RMDQ10_v1","Somatoria_Owestry",0.9999,5.10001740258952e-46,180,40,12
"RMDQ10_v1","Ord_RMDQ",0.9999,1.88758859848267e-46,95,40,0
"RMDQ10_v1","SF12_M1_1_v1",0.629379305827238,2.32784601289083e-11,180,40,12
"RMDQ10_v1","SF12_M1_2_v1",-0.858032102528783,8.39782175055389e-22,180,40,12
"RMDQ10_v1","SF12_M1_3_v1",-0.865289556610239,3.12584576297586e-22,180,40,12
"RMDQ10_v1","SF12_M1_4_v1",-0.756385789916822,1.7138349848702e-16,180,40,12
"RMDQ10_v1","SF12_M1_5_v1",-0.822722354290458,8.14780329758295e-20,180,40,12
"RMDQ10_v1","SF12_M1_6_v1",-0.941208687740266,3.32747147456022e-27,180,40,12
"RMDQ10_v1","SF12_M1_7_v1",-0.9999,6.69760624752895e-32,180,40,12
"RMDQ10_v1","SF12_M1_8_v1",0.805212232642188,6.8796460985382e-19,180,40,12
"RMDQ10_v1","SF12_M1_9_v1",-0.804516424204569,7.47514291706952e-19,180,40,12
"RMDQ10_v1","SF12_M1_10_v1",-0.790728217510259,3.77014722979394e-18,180,40,12
"RMDQ10_v1","SF12_M1_11_v1",-0.942491429001858,2.69007520809588e-27,180,40,12
"RMDQ10_v1","SF12_M1_12_v1",-0.919563013811079,1.08670270511786e-25,180,40,12
"RMDQ11_v1","Oswestry1_v1",0.9999,7.75034709146936e-40,178,42,12
"RMDQ11_v1","Oswestry2_v1",0.9999,9.56699356825468e-42,178,42,12
"RMDQ11_v1","Oswestry3_v1",0.9999,1.70868891393874e-36,178,42,12
"RMDQ11_v1","Oswestry4_v1",0.9999,2.27868685280058e-43,178,42,12
"RMDQ11_v1","Oswestry5_v1",0.9999,1.52697329724623e-35,178,42,12
"RMDQ11_v1","Oswestry6_v1",0.9999,4.19724516552297e-33,178,42,12
"RMDQ11_v1","Oswestry7_v1",0.966569219769005,5.94146699428144e-30,178,42,12
"RMDQ11_v1","Oswestry8_v1",0.963931508777273,9.6385856896162e-30,178,42,12
"RMDQ11_v1","Oswestry9_v1",0.9999,1.51749808375008e-37,178,42,12
"RMDQ11_v1","Oswestry10_v1",0.962830285165396,1.17841169815084e-29,178,42,12
"RMDQ11_v1","Somatoria_Owestry",0.9999,3.12790331937688e-43,178,42,12
"RMDQ11_v1","Ord_RMDQ",0.9999,5.4251854887321e-43,93,42,0
"RMDQ11_v1","SF12_M1_1_v1",0.721483365455398,2.71234364326146e-15,178,42,12
"RMDQ11_v1","SF12_M1_2_v1",-0.911167421994213,7.85081434865568e-26,178,42,12
"RMDQ11_v1","SF12_M1_3_v1",-0.921705363235585,1.4317550227267e-26,178,42,12
"RMDQ11_v1","SF12_M1_4_v1",-0.772289362063799,1.12525845899218e-17,178,42,12
