;Binaria;Ordinal;rpb;Bin_0;Bin_1;Missing
527;Masc;BPI_9f_v1;0.238165164574426;54;101;0
528;Masc;BPI_9g_v1;0.216830256367444;54;101;0
514;Masc;Dor_costas_VAS;0.229148470614245;58;123;0
515;Masc;Dor_pernas_VAS;0.0140716719281578;66;136;0
516;Masc;IDADE;0.114204710857951;68;134;0
510;Masc;Licenca_Tempo;-0.9999;2;4;0
508;Masc;QtCirColuna;0.210601318646411;50;96;0
511;Masc;Tempo_dor_costas;0.177665578330538;51;91;0
512;Masc;Tempo_dor_pernas;0.0873466611173187;49;92;0
509;Masc;Trabalho_Cansativo;-0.0903436989426157;48;91;0
329;OutraDoenca;Andar_velocidade;-0.201339845592207;82;52;1
333;OutraDoenca;BPI_3_v1;0.18405456221906;126;79;31
334;OutraDoenca;BPI_4_v1;0.122482616416051;126;79;31
335;OutraDoenca;BPI_5_v1;0.20709527094395;126;79;31
336;OutraDoenca;BPI_6_v1;0.176089751466542;78;49;4
337;OutraDoenca;BPI_8_v1;-0.0195342565401313;87;58;15
338;OutraDoenca;BPI_9a_v1;0.110308577517898;83;56;16
339;OutraDoenca;BPI_9b_v1;0.0777235321556583;83;56;16
340;OutraDoenca;BPI_9c_v1;0.250776574089406;83;56;16
341;OutraDoenca;BPI_9d_v1;0.108682612324866;83;56;16
342;OutraDoenca;BPI_9e_v1;0.0668206040537981;83;56;16
343;OutraDoenca;BPI_9f_v1;0.1393557257508;83;56;16
344;OutraDoenca;BPI_9g_v1;0.0475395900929024;83;56;16
330;OutraDoenca;Dor_costas_VAS;0.156734085512486;105;67;9
331;OutraDoenca;Dor_pernas_VAS;0.108337943930224;120;73;9
332;OutraDoenca;IDADE;0.438239654571509;119;69;14
326;OutraDoenca;Licenca_Tempo;0.304352302063207;4;2;0
324;OutraDoenca;QtCirColuna;0.0527249449607792;78;48;20
327;OutraDoenca;Tempo_dor_costas;0.245061880535823;85;53;4
328;OutraDoenca;Tempo_dor_pernas;0.172542120125097;86;52;3
325;OutraDoenca;Trabalho_Cansativo;-0.225788598303751;83;52;4
467;Retornar_trabalho;Andar_velocidade;-0.38323096967719;105;18;12
471;Retornar_trabalho;BPI_3_v1;0.230534888890611;183;21;32
