"Binaria","Ordinal","rpb","pvalue","Bin_0","Bin_1","Missing"
"RMDQ7_v1","SF12_M1_9_v1",-0.854235608370018,2.76762048534511e-21,181,39,12
"RMDQ7_v1","SF12_M1_10_v1",-0.741124701223,1.34610365909097e-15,181,39,12
"RMDQ7_v1","SF12_M1_11_v1",-0.895111030194792,9.84773173119685e-24,181,39,12
"RMDQ7_v1","SF12_M1_12_v1",-0.902447366363781,3.3726279958436e-24,181,39,12
"RMDQ8_v1","Oswestry2_v1",0.738704559740867,1.92089942550848e-06,212,8,12
"RMDQ8_v1","Oswestry7_v1",0.572137561494767,0.00026328159480897,212,8,12
"RMDQ8_v1","Ord_RMDQ",0.766875404874073,4.50075570337199e-06,127,8,0
"RMDQ8_v1","SF12_M1_2_v1",-0.747908836275878,1.40586835758396e-06,212,8,12
"RMDQ8_v1","SF12_M1_3_v1",-0.789416355519988,3.25363883595589e-07,212,8,12
"RMDQ8_v1","SF12_M1_4_v1",-0.642942291041587,3.82912177755884e-05,212,8,12
"RMDQ8_v1","SF12_M1_5_v1",-0.739701999446514,1.85740781076997e-06,212,8,12
"RMDQ8_v1","SF12_M1_6_v1",-0.715219204607113,4.17590567088091e-06,212,8,12
"RMDQ8_v1","SF12_M1_7_v1",-0.836957867653069,5.42060089250541e-08,212,8,12
"RMDQ8_v1","SF12_M1_8_v1",0.577147651471942,0.000231458800982503,212,8,12
"RMDQ8_v1","SF12_M1_11_v1",-0.506632994197967,0.0012801844115081,212,8,12
"RMDQ9_v1","SF12_M1_1_v1",0.769439451941743,1.01325297688822e-15,186,34,12
"RMDQ9_v1","SF12_M1_2_v1",-0.956155472910961,1.20950340118048e-25,186,34,12
"RMDQ9_v1","SF12_M1_3_v1",-0.9999,1.21832764282317e-29,186,34,12
"RMDQ9_v1","SF12_M1_4_v1",-0.853271473832367,1.14082493402988e-19,186,34,12
"RMDQ9_v1","SF12_M1_5_v1",-0.915533036425332,4.0904137801142e-23,186,34,12
"RMDQ9_v1","SF12_M1_6_v1",-0.9999,8.13663775860743e-30,186,34,12
"RMDQ9_v1","SF12_M1_7_v1",-0.9999,2.81776909393545e-35,186,34,12
"RMDQ9_v1","SF12_M1_8_v1",0.950737892097662,2.71693872032216e-25,186,34,12
"RMDQ9_v1","SF12_M1_9_v1",-0.95063037497337,2.76063707483574e-25,186,34,12
