"","denominador","numerador","Frequência","P-value","Qtd_1_Denom","Qtd_0_Demon","D0N0","D0N1","D1N0","D1N1"
"445","RMDQ5_v1","RMDQ11_v1",0.527777777777778,7.48857863041968e-19,72,148,144,4,34,38
"446","RMDQ6_v1","RMDQ11_v1",0.696428571428571,7.29724459206877e-29,56,164,161,3,17,39
"447","RMDQ7_v1","RMDQ11_v1",0.846153846153846,1.68632370136105e-30,39,181,172,9,6,33
"448","RMDQ8_v1","RMDQ11_v1",0.875,5.29719634896312e-07,8,212,177,35,1,7
"449","RMDQ9_v1","RMDQ11_v1",0.970588235294118,2.70276201560039e-36,34,186,177,9,1,33
"450","RMDQ10_v1","RMDQ11_v1",0.925,5.57324773652127e-39,40,180,175,5,3,37
"451","RMDQ11_v1","RMDQ11_v1",1,9.04447975804475e-50,42,178,178,0,0,42
"452","RMDQ12_v1","RMDQ11_v1",0.795454545454545,3.82686693162048e-30,44,176,169,7,9,35
"453","RMDQ13_v1","RMDQ11_v1",0.717391304347826,1.67872093980868e-24,46,174,165,9,13,33
"454","RMDQ14_v1","RMDQ11_v1",0.73469387755102,4.47919789268309e-28,49,171,165,6,13,36
"455","RMDQ15_v1","RMDQ11_v1",0.870967741935484,2.63183270604289e-25,31,189,174,15,4,27
"456","RMDQ16_v1","RMDQ11_v1",0.864864864864865,2.73669003394032e-30,37,183,173,10,5,32
"457","RMDQ17_v1","RMDQ11_v1",0.673469387755102,1.86670439068414e-22,49,171,162,9,16,33
"458","RMDQ18_v1","RMDQ11_v1",0.972222222222222,6.99542001857602e-39,36,184,177,7,1,35
"459","RMDQ19_v1","RMDQ11_v1",0.96875,9.21662154873218e-34,32,188,177,11,1,31
"460","RMDQ20_v1","RMDQ11_v1",0.921052631578947,2.36351824386872e-36,38,182,175,7,3,35
"461","RMDQ21_v1","RMDQ11_v1",0.770833333333333,6.43141249103896e-31,48,172,167,5,11,37
"462","RMDQ22_v1","RMDQ11_v1",0.894736842105263,6.70056269121632e-34,38,182,174,8,4,34
"463","RMDQ23_v1","RMDQ11_v1",0.918918918918919,4.62773129154927e-35,37,183,175,8,3,34
"464","RMDQ24_v1","RMDQ11_v1",1,2.96671846020933e-40,35,185,178,7,0,35
"465","Dor nas costas","RMDQ12_v1",0.252032520325203,0.030568113837077,123,67,59,8,92,31
"466","Dor nas pernas","RMDQ12_v1",0.230769230769231,0.566435176918238,65,123,99,24,50,15
"467","Livrar_costas","RMDQ12_v1",0.252336448598131,0.263069618166919,107,16,14,2,80,27
"468","Livrar_perna","RMDQ12_v1",0.142857142857143,0.384286070333107,14,109,82,27,12,2
"469","Lombalgia","RMDQ12_v1",0.229508196721311,0.230814196634122,61,56,48,8,47,14
"470","RMDQ1_v1","RMDQ12_v1",0.388235294117647,2.1372128783049e-07,85,134,123,11,52,33
"471","RMDQ2_v1","RMDQ12_v1",0.377777777777778,2.87693687167412e-07,90,129,119,10,56,34
"472","RMDQ3_v1","RMDQ12_v1",0.468354430379747,9.44652915593103e-14,79,141,134,7,42,37
"473","RMDQ4_v1","RMDQ12_v1",0.296296296296296,0.0416910696342506,54,166,138,28,38,16
"474","RMDQ5_v1","RMDQ12_v1",0.527777777777778,2.30144275281162e-17,72,148,142,6,34,38
"475","RMDQ6_v1","RMDQ12_v1",0.696428571428571,5.50913333201881e-27,56,164,159,5,17,39
"476","RMDQ7_v1","RMDQ12_v1",0.923076923076923,1.47080352648302e-35,39,181,173,8,3,36
"477","RMDQ8_v1","RMDQ12_v1",0.875,1.160924040668e-06,8,212,175,37,1,7
"478","RMDQ9_v1","RMDQ12_v1",0.970588235294118,2.52908639173568e-34,34,186,175,11,1,33
"479","RMDQ10_v1","RMDQ12_v1",0.875,3.94510314773932e-32,40,180,171,9,5,35
"480","RMDQ11_v1","RMDQ12_v1",0.833333333333333,3.82686693162048e-30,42,178,169,9,7,35
"481","RMDQ12_v1","RMDQ12_v1",1,9.04447975804488e-50,44,176,176,0,0,44
"482","RMDQ13_v1","RMDQ12_v1",0.804347826086957,1.01747887939032e-30,46,174,167,7,9,37
